plan_id,case_label,site_group,true_model_id,true_model_label,comparator_id,comparator_label,metric,label,units,true_value,comparator_value,true_minus_comparator,favors_true_sink
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_global_auc,cytokine_global_auc,a.u.,135.9909210205078,114.38115692138672,21.609764099121094,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5586006045341492,0.5592824816703796,-0.0006818771362304688,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8771268725395203,0.8864257335662842,-0.009298861026763916,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1364.216552734375,1506.8118896484375,-142.5953369140625,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,135.9909210205078,133.17092895507812,2.8199920654296875,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5586006045341492,0.558560311794281,4.029273986816406e-05,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8771268725395203,0.8633940815925598,0.01373279094696045,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1364.216552734375,1369.89306640625,-5.676513671875,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,135.9909210205078,128.97271728515625,7.0182037353515625,False
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5035285949707031,0.5070746541023254,-0.0035460591316223145,True
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.805605411529541,0.8887574672698975,-0.08315205574035645,True
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1238.65966796875,1677.37890625,-438.71923828125,True
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,82.31208801269531,94.45124053955078,-12.139152526855469,True
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5035285949707031,0.5035285949707031,0.0,False
