plan_id,case_label,comparator_id,comparator_label,metric,label,units,n_repeats,mean_true_minus_comparator,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,favors_true_sink,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.8335687439553282,0.018007185980364618,-0.8571596169216242,-0.8013364611565663,-0.855653796152744,-0.8029747231775154,-0.8445048911972406,-0.821472105953422,0.03851846227193974,0.04251976814055181,0.08333874555548156,19.60426362627175,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.3805094632348393,0.01142784686615702,-0.39247538222135603,-0.35472099545830815,-0.39179150308881533,-0.35814513452226465,-0.387050550791132,-0.37276763831437326,0.02209242059849925,0.024873092527816658,0.048751261354520646,15.29803593217446,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",brainstem_d2,Brainstem D2,Gy,9,-0.41642061021592824,0.10658741359147274,-0.5914430236816415,-0.25434371948242074,-0.577194519042969,-0.26294644165038933,-0.4841618694729271,-0.3490518158806684,0.00034736647075023474,0.10658797962052133,0.2089124400562218,3.9068252508255163,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",parotid_r_mean,Parotid R mean,Gy,9,-1.1024565471944578,0.025961582592114032,-1.150473384664517,-1.0536512211115685,-1.1462899745594377,-1.0605750902734628,-1.119365412324633,-1.0847619798715928,0.05146535316557346,0.057642747567619994,0.11297978523253518,19.125676580582486,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",outside_gtv_d2,Outside-GTV D2,Gy,9,-0.435049425760905,0.1396613637250383,-0.5457946777343778,-0.0833511352539098,-0.5440889816284205,-0.1403163528442406,-0.5078464502758455,-0.33447944884830105,0.0,0.1396613637250383,0.27373627290107505,3.1150306294976406,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9,-0.3861498409575322,0.00918434145974108,-0.3969751222198603,-0.36627393539748354,-0.39627488653201726,-0.3685978539923049,-0.39154283077578034,-0.37959563529352114,0.0,0.00918434145974108,0.01800130926109252,42.04436895668492,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",ptv_d95,PTV D95,Gy,9,-1.2518722746107314,0.4676328409394091,-2.2185027599334717,-0.6625268459320068,-2.1591891288757323,-0.7171157836914063,-1.5985549840662217,-0.977354817920261,0.3956501309548962,0.6125516305175337,1.200601195814366,2.0437008282110805,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",pvdr,PVDR,ratio,9,-0.048703642020473885,0.0037159364693763585,-0.05283312766338999,-0.041666723737905365,-0.052807131292026986,-0.041972826603066914,-0.05093906492543041,-0.04607049770380269,0.002239658936019717,0.004338692890045827,0.008503838064489821,11.225418174264798,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.24535393935480698,0.011225255769287042,-0.25891535371894037,-0.22625458879305782,-0.25826955841412413,-0.22626936796701572,-0.25198388548211176,-0.2377695654240147,0.03851846227193974,0.040120796388914776,0.07863676092227295,6.1153805865777215,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.008834090345667178,0.005534506539014302,-0.014801498963183946,0.004692265235512139,-0.014571614324564663,0.0025447912910252037,-0.011973207061681071,-0.0048811745237313615,0.02209242059849925,0.022775113842336468,0.044639223130979476,0.3878834769750113,True,False,False,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",brainstem_d2,Brainstem D2,Gy,9,3.472026570638021,0.5053114942001499,2.5424377441406207,4.155755920410158,2.611214324951169,4.13095867919922,3.12197967232598,3.798176181369359,0.00034736647075023474,0.5053116135952677,0.9904107626467246,6.871060306599169,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",parotid_r_mean,Parotid R mean,Gy,9,-1.0942630537698832,0.025923058594124214,-1.1423933106239392,-1.0455261317166418,-1.1381483563509853,-1.0524488487628978,-1.1101073938507817,-1.077274705044482,0.05146535316557346,0.0576254070990531,0.11294579791414408,18.98924639072726,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",outside_gtv_d2,Outside-GTV D2,Gy,9,-0.036202464633518616,0.12029601281501034,-0.357545814514161,0.0954949188232419,-0.29309838867187565,0.08423210906982347,-0.12544783030616016,0.023552424536809276,0.0,0.12029601281501034,0.23578018511742027,0.30094484252932224,True,False,False,False
case03,Base-of-tongue / oropharynx bilobed central mass,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9,-0.035321940112270606,0.0051047477043508725,-0.04052785720982399,-0.023045153549066555,-0.04039132840851138,-0.024762763732461224,-0.038233111655988215,-0.03172666258136527,0.0,0.0051047477043508725,0.01000530550052771,6.9194291584998515,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",ptv_d95,PTV D95,Gy,9,-0.6714442835913764,0.5596806559833172,-1.9477217197418213,-0.14633822441101074,-1.8174851417541504,-0.14686369895935059,-1.0641340918011135,-0.34085211422708306,0.3956501309548962,0.6854060568790903,1.343395871483017,0.9796299242652056,False,False,False,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",pvdr,PVDR,ratio,9,-0.18353530926791184,0.007012398525653733,-0.1935900941370241,-0.17225580372184646,-0.19307854016824083,-0.17257813211549014,-0.1877957763390392,-0.1789184924342285,0.002239658936019717,0.007361372510088293,0.014428290119773054,24.932213254578322,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,0.7189913365295735,0.014951624942522975,0.6826704582954441,0.7404033400652708,0.6890578878748116,0.7385079663217169,0.7081532617779472,0.7276774321591445,0.03851846227193974,0.04131855544687786,0.0809843686758806,17.4011731231495,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,0.7669709579628284,0.010388645679271127,0.7510685153920047,0.7842610918286681,0.751934499684048,0.7828746227511182,0.7603388239463376,0.7737966314069376,0.02209242059849925,0.02441309089301133,0.047849658150302204,31.41638071656003,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",brainstem_d2,Brainstem D2,Gy,9,2.5607460869683143,0.16766808502233077,2.312610626220696,2.780686187744138,2.323535614013666,2.779437103271482,2.451664811876082,2.670697519090439,0.00034736647075023474,0.1676684448503073,0.3286301519066023,15.27267751099214,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",parotid_r_mean,Parotid R mean,Gy,9,0.20193710455589453,0.017406474965752407,0.1759476825444377,0.238268594067506,0.17726337124602906,0.23436727620134476,0.19101617017846606,0.21416476248089336,0.05146535316557346,0.05432925498468176,0.10648533976997625,3.716912823723261,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",outside_gtv_d2,Outside-GTV D2,Gy,9,0.6474757130940757,0.14375173426098684,0.4191732406616211,0.8631013488769526,0.44070838165283277,0.8542342376708973,0.555792755656772,0.7468311014175398,0.0,0.14375173426098684,0.2817533991515342,4.504124534028636,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9,0.6158123795350379,0.013438388369359676,0.579806046696639,0.6294659275415704,0.5866706895598945,0.6286449140199736,0.6055423599287308,0.6224101422475021,0.0,0.013438388369359676,0.026339241203944964,45.82486847449108,False,True,True,True
case04,Laryngo-hypopharyngeal elongated cylinder,no_sink,"Bystander, no vascular sink",ptv_d95,PTV D95,Gy,9,-4.74699076546563,0.1531301430975345,-4.9659458160400405,-4.477810859680174,-4.952295761108399,-4.4937060546874985,-4.843258030149673,-4.645946345859104,0.27976689057555265,0.3189331494018529,0.6251089728276317,14.883967923586594,False,True,True,True
case04,Laryngo-hypopharyngeal elongated cylinder,no_sink,"Bystander, no vascular sink",pvdr,PVDR,ratio,9,0.2252970841207484,0.017888230937781732,0.2057173178550855,0.2654998818912657,0.20599880556533506,0.2607229303474202,0.21472441903357334,0.2381859389645782,0.0015836780212045896,0.017958197074268285,0.03519806626556584,12.545640477660713,True,True,True,True
case04,Laryngo-hypopharyngeal elongated cylinder,no_sink,"Bystander, no vascular sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-1.991430299015906,0.009162887664870719,-2.004177792621622,-1.9793527610511497,-2.0036145010923265,-1.9793601542923618,-1.9975056450673412,-1.9853220092940371,0.02723666587336678,0.028736639995943548,0.05632381439204935,69.29934394894516,True,True,True,True
case04,Laryngo-hypopharyngeal elongated cylinder,no_sink,"Bystander, no vascular sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.6378579790539186,0.0033225859898012872,-0.6432375833140007,-0.6335005456622689,-0.6431245984890939,-0.6336121576036096,-0.6401633954972716,-0.6357907423993995,0.015621700418024183,0.015971133385271088,0.03130342143513133,39.938178691949595,True,True,True,True
