plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3,repeat_id,seed,history_scale
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",0.6767146587371826,0.5902549028396606,0.9590756893157959,0.8881136178970337,83.24961853027344,55.46786880493164,143.62440490722656,2353.93798828125,1414.5,0.9813293502613891,262.8,seed22_hist0p5,22,0.5
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",0.7099145650863647,0.5405561327934265,0.9862043857574463,0.9130988717079163,106.94198608398438,69.8718490600586,125.44168090820312,2779.414306640625,1764.8656005859375,0.9567982304555195,110.736,seed22_hist0p5,22,0.5
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",0.7099369764328003,0.539914071559906,0.9862043857574463,0.9028953909873962,106.94180297851562,67.08641052246094,121.02954864501953,2779.413818359375,1709.002685546875,0.9567982304555195,110.736,seed22_hist0p5,22,0.5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",0.6713292002677917,0.5718265175819397,0.9946857690811157,0.9014402627944946,133.48468017578125,63.071834564208984,144.1145477294922,3580.662109375,1559.2642822265625,0.9705313781885049,164.672,seed22_hist0p5,22,0.5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,true_vessel_sink,"Bystander, anatomical vascular sink",0.6713371276855469,0.5709651112556458,0.994671106338501,0.8880322575569153,133.28335571289062,59.660621643066406,137.8349151611328,3578.740234375,1493.75390625,0.9705313781885049,164.672,seed22_hist0p5,22,0.5
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",0.6479416489601135,0.5363188982009888,0.9950495362281799,0.8823904395103455,140.84555053710938,57.93594741821289,122.1548080444336,3729.170166015625,1425.213134765625,0.9506163084702908,96.248,seed22_hist1p0,22,1.0
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",0.6479468941688538,0.5358065962791443,0.9950326681137085,0.8743202686309814,140.49508666992188,55.967777252197266,117.69419860839844,3725.55419921875,1386.8768310546875,0.9506163084702908,96.248,seed22_hist1p0,22,1.0
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,no_sink,"Bystander, no vascular sink",0.6739829182624817,0.5476236343383789,0.9951417446136475,0.9003690481185913,139.25035095214844,64.52997589111328,157.0916290283203,3705.459228515625,1581.5738525390625,0.9701057062227962,162.256,seed22_hist1p0,22,1.0
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",0.6725003719329834,0.5468422174453735,0.957360029220581,0.8748239874839783,86.78250885009766,53.719242095947266,143.0226287841797,2493.00390625,1372.4146728515625,0.9701057062227962,162.256,seed22_hist1p0,22,1.0
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",0.6923316717147827,0.512464702129364,0.9861164093017578,0.8938576579093933,116.53114318847656,66.88420104980469,98.14420318603516,3097.895263671875,1695.301513671875,0.9331264712176333,69.768,seed22_hist1p0,22,1.0
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",0.6925203800201416,0.5092753767967224,0.9856022596359253,0.8142853379249573,112.73712158203125,45.96430206298828,85.60597229003906,3049.545166015625,1245.2626953125,0.9331264712176333,69.768,seed22_hist1p0,22,1.0
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",0.6751413941383362,0.5278134942054749,0.990593671798706,0.8885595202445984,127.18092346191406,62.32703399658203,148.54129028320312,3336.228759765625,1534.646728515625,0.9643468339988591,135.24,seed22_hist1p0,22,1.0
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",0.673505961894989,0.5274219512939453,0.9567320346832275,0.8671589493751526,83.24674987792969,54.272613525390625,136.1645050048828,2357.1953125,1383.7130126953125,0.9643468339988591,135.24,seed22_hist1p0,22,1.0
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",0.706020712852478,0.4880485236644745,0.9857394099235535,0.9019812941551208,106.09724426269531,68.06587982177734,123.53746032714844,2761.499755859375,1717.8675537109375,0.9222056260891214,59.272,seed22_hist1p0,22,1.0
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",0.7060391306877136,0.4873109757900238,0.9857394099235535,0.8903765082359314,106.09706115722656,65.39334106445312,119.06935119628906,2761.499267578125,1664.44140625,0.9222056260891214,59.272,seed22_hist1p0,22,1.0
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",0.668458104133606,0.5266255140304565,0.9944852590560913,0.8908361196517944,132.60023498535156,61.94911575317383,143.44403076171875,3566.41796875,1529.7132568359375,0.955087668870365,106.328,seed22_hist1p0,22,1.0
