sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
sample_002,case10,cord_d2,Cord D2,12.623858299255371,28.58616355895996,28.482865829467773,-0.10329772949218707
sample_002,case10,brainstem_d2,Brainstem D2,12.214059333801272,28.188494873046874,28.057538375854495,-0.13095649719237912
sample_002,case10,parotid_r_mean,Parotid R mean,6.92926394216942,22.16783135732015,21.499039547852796,-0.6687918094673542
sample_003,case01,ptv_d95,PTV D95,3.5000001788139343,19.0094633102417,18.437138557434082,-0.5723247528076172
sample_003,case01,pvdr,PVDR,1.7942250613848219,1.3184195009657207,1.3322680823288997,0.013848581363179013
sample_003,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,22.263347228560086,21.86369810770483,-0.39964912085525484
sample_003,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,18.1618457672931,17.800702925406444,-0.36114284188665735
sample_003,case01,cord_d2,Cord D2,1.6935659074783322,12.363182106018066,12.219155654907226,-0.14402645111083956
sample_003,case01,brainstem_d2,Brainstem D2,4.724041156768799,19.716016006469726,19.481723022460937,-0.23429298400878906
sample_003,case01,parotid_r_mean,Parotid R mean,4.527316856745518,15.983377433545662,15.445635934309525,-0.5377414992361373
sample_003,case02,ptv_d95,PTV D95,3.5,19.006737232208252,17.896473789215086,-1.1102634429931655
sample_003,case02,pvdr,PVDR,1.7966069888665888,1.3054578537795074,1.3246590035574786,0.01920114977797116
sample_003,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,22.850459418956106,22.464426835909535,-0.3860325830465712
sample_003,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,19.20824023394269,18.88373518097221,-0.3245050529704798
sample_003,case02,cord_d2,Cord D2,4.304217872619628,17.652476196289054,17.554891891479482,-0.09758430480957259
sample_003,case02,brainstem_d2,Brainstem D2,7.62433998107911,25.160491333007812,24.941232147216798,-0.21925918579101378
sample_003,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.694559925493568,3.4762185140089557,-0.21834141148461228
sample_003,case03,ptv_d95,PTV D95,3.5000001192092896,19.083771228790283,16.8260498046875,-2.257721424102783
sample_003,case03,pvdr,PVDR,1.6557359939167076,1.2714057058045614,1.1312427477184286,-0.14016295808613277
sample_003,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,23.120000851288637,22.15588510242849,-0.9641157488601486
sample_003,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,19.080293797315612,18.584064990169598,-0.49622880714601436
sample_003,case03,cord_d2,Cord D2,18.599873275756835,34.337870330810546,34.23705215454101,-0.10081817626953438
