plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,sample_id,risk_score,rank
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",12.054566669464112,1.3933207138075805,18.886073107815694,14.59453363081223,27.39674194335937,34.30696807861328,13.939668156402279,11.988755702972412,19.774372007824688,36.24277114868164,12.660110261705187,9.092177931304699,24.87825378417968,15.698631633797632,18.878271398775393,28.0505753159523,20.132174192183957,256,13699,sample_001,-2.6666368817849437,4
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,3.4999999046325683,2.0117584786890403,6.226131111328786,4.913785900432322,17.382209701538084,10.529837722778321,7.717367107699616,3.8106948733329773,5.361402574153876,23.051963806152344,1.7204651635102552,3.643718089623293,14.27351491928102,5.874452227000148,6.226131111328786,13.806424663238918,6.862863912091404,776,18122,sample_001,-0.8603046842174225,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",18.085651779174803,1.2423966144436907,20.960634458382856,17.38649842225923,29.73074104309082,27.365937805175783,23.14469949356233,20.62279462814331,18.35613929967024,33.27375793457031,11.320597415500217,13.484695530897474,25.37396270751953,18.200331254508406,20.960634458382856,28.711540276242285,23.109802411284328,776,18122,sample_001,-0.442223141243008,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",16.98842849731445,1.1417519382615804,20.324561303114923,17.013622280224254,29.6830802154541,27.328959884643556,22.537105999570905,19.013519287109375,18.29328299159236,31.409557342529297,10.785277658520323,13.293191282727424,24.837805252075203,17.556933678992152,20.324561303114923,25.46107126265457,22.300002662068025,776,18122,sample_001,0.8341260621692602,6
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,3.499999833106995,1.7061907148943334,7.543073716337961,6.422456015930188,5.403743743896482,6.732566375732423,5.246605821811792,3.659237813949585,10.82258131039032,20.705089569091797,0.2381690007380464,5.015193713692018,13.890360832214348,4.3800665012154365,7.543073716337961,13.861065228780111,8.123983507692776,237,16899,sample_001,1.445279533608693,7
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",17.980505180358886,1.1774801201779594,21.950120272658964,19.082193787925906,18.632511978149413,19.892733688354493,20.749731202559037,19.33806381225586,22.757069366266116,32.93266677856445,3.668846958695036,15.842683051668898,25.198344039916982,14.814268082508628,21.950120272658964,28.129378845923057,23.889472411365805,237,16899,sample_001,1.5242812742449923,7
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",16.938266563415528,1.197949738961565,21.36684438973264,18.624411214000837,18.55477867126465,19.586541900634767,20.158218412688285,18.577717208862303,22.717289957099656,32.93230438232422,3.4843979412859136,15.486272444315473,25.06309242248535,14.200344326390814,21.36684438973264,28.129378185996526,23.481267428114553,237,16899,sample_001,-1.013664402982584,5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,3.5000000953674317,2.1613267665900513,6.415503504528602,5.824338141293821,9.003155403137207,8.335540504455567,3.8203198885676835,3.6924392938613892,7.974017617503187,21.14145851135254,5.449974843227502,4.396317056972474,12.118023223876953,5.312555811819674,6.415503504528602,13.689966307953,6.334056709782856,512,16591,sample_001,-5.394933681127745,1
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",18.156770324707033,1.2558708977408504,21.113370802382324,18.408164893562752,21.775524826049804,21.370157318115236,16.325745520928894,20.328875827789307,21.611891699280164,32.95608139038086,18.067366883248994,15.747794167905775,24.009460334777835,17.723689614581808,21.113370802382324,28.501768849790096,22.69482388759951,512,16591,sample_001,-3.606296239501466,2
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",16.57069911956787,1.2857600388986048,20.361647408422986,17.634771944107612,21.72123405456543,21.218578338623047,15.833439331825334,19.352819538116456,21.55544103262225,32.952938079833984,17.624332379813147,15.197496985503788,23.966188888549805,16.863875562978148,20.361647408422986,28.496238589286804,22.162952438385762,512,16591,sample_001,-3.5110528585918814,2
