sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
sample_001,case09,cord_d2,Cord D2,11.807664413452148,29.887798690795897,29.75021057128906,-0.13758811950683736
sample_001,case09,brainstem_d2,Brainstem D2,9.051507835388184,34.8683757019043,33.82405242919922,-1.0443232727050784
sample_001,case09,parotid_r_mean,Parotid R mean,12.636478632146662,29.694316382359975,28.722725045560587,-0.9715913367993885
sample_001,case10,ptv_d95,PTV D95,3.5,19.337726593017578,17.956520080566406,-1.3812065124511719
sample_001,case10,pvdr,PVDR,1.645898441108816,1.2907246345450611,1.1997102239616602,-0.09101441058340098
sample_001,case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,8.18923931996917,22.707837137005242,22.29008090723927,-0.41775622976597404
sample_001,case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,7.3043823211845735,19.515904846180764,19.322136533381535,-0.19376831279922868
sample_001,case10,cord_d2,Cord D2,12.623858299255371,38.013551025390626,37.96081726074219,-0.05273376464843693
sample_001,case10,brainstem_d2,Brainstem D2,12.214059333801272,35.85313995361328,35.31305160522461,-0.5400883483886716
sample_001,case10,parotid_r_mean,Parotid R mean,6.92926394216942,26.15298622979058,25.101685358297946,-1.0513008714926357
sample_002,case01,ptv_d95,PTV D95,3.5000001788139343,17.95688009262085,17.500068187713623,-0.45681190490722656
sample_002,case01,pvdr,PVDR,1.7942250613848219,1.4578687786748883,1.4696111582480047,0.011742379573116413
sample_002,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,21.23148594789459,20.941684802661197,-0.28980114523339395
sample_002,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,17.53080671331602,17.27394247125219,-0.2568642420638305
sample_002,case01,cord_d2,Cord D2,1.6935659074783322,11.733878135681152,11.626221809387205,-0.10765632629394695
sample_002,case01,brainstem_d2,Brainstem D2,4.724041156768799,18.666820068359378,18.513655700683593,-0.15316436767578523
sample_002,case01,parotid_r_mean,Parotid R mean,4.527316856745518,15.531375945698132,15.144554925205732,-0.3868210204924001
sample_002,case02,ptv_d95,PTV D95,3.5,17.92837495803833,17.047588443756105,-0.8807865142822244
sample_002,case02,pvdr,PVDR,1.7966069888665888,1.4691861751948898,1.486621006871307,0.01743483167641724
sample_002,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,21.853291003113775,21.56119098503873,-0.29210001807504327
sample_002,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,18.60205835913041,18.36518443932647,-0.23687391980394068
sample_002,case02,cord_d2,Cord D2,4.304217872619628,17.046374664306633,16.968753662109368,-0.0776210021972652
sample_002,case02,brainstem_d2,Brainstem D2,7.62433998107911,23.688225708007817,23.5375789642334,-0.15064674377441634
sample_002,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.3284644531481193,3.167464026778635,-0.1610004263694842
sample_002,case03,ptv_d95,PTV D95,3.5000001192092896,18.09779405593872,16.56670045852661,-1.5310935974121094
sample_002,case03,pvdr,PVDR,1.6557359939167076,1.4065591958988983,1.235808892042711,-0.17075030385618728
sample_002,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,22.240516019345772,21.463395567509,-0.7771204518367725
sample_002,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,18.470978121821773,18.096651807101267,-0.3743263147205056
sample_002,case03,cord_d2,Cord D2,18.599873275756835,36.71463516235352,36.55771194458008,-0.1569232177734392
sample_002,case03,brainstem_d2,Brainstem D2,18.5877791595459,36.5649055480957,36.186693572998045,-0.37821197509765625
sample_002,case03,parotid_r_mean,Parotid R mean,4.715152071943186,18.598216114622176,17.63894882780133,-0.9592672868208467
sample_002,case04,ptv_d95,PTV D95,3.4999999046325683,17.59425106048584,12.587797069549561,-5.0064539909362775
sample_002,case04,pvdr,PVDR,1.9199070266211269,1.3617570423978385,1.549297448910056,0.18754040651221748
sample_002,case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.1157045766817415,21.08021389192187,19.277315290268696,-1.8028986016531725
sample_002,case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,3.8142536735420576,15.120970163298944,14.537282753439522,-0.5836874098594222
sample_002,case04,cord_d2,Cord D2,12.86361804962158,32.52940902709961,32.37432144165039,-0.1550875854492233
sample_002,case04,brainstem_d2,Brainstem D2,26.443986892700195,34.72290924072266,34.664254608154295,-0.058654632568362786
sample_002,case04,parotid_r_mean,Parotid R mean,3.353234562127277,14.406190231592968,13.632776863406402,-0.7734133681865654
sample_002,case05,ptv_d95,PTV D95,3.4999999046325683,17.801570320129393,16.727237510681153,-1.07433280944824
sample_002,case05,pvdr,PVDR,2.0117584786890403,1.4347284456836313,1.288617596319898,-0.1461108493637333
sample_002,case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.226131111328786,20.87254960400074,20.21450779955618,-0.658041804444558
sample_002,case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,4.913785900432322,17.25327458165374,16.89011878180235,-0.36315579985139124
sample_002,case05,cord_d2,Cord D2,17.382209701538084,35.4364047241211,35.27752899169922,-0.15887573242187614
sample_002,case05,brainstem_d2,Brainstem D2,10.529837722778321,33.86899444580078,33.56231628417969,-0.3066781616210932
sample_002,case05,parotid_r_mean,Parotid R mean,7.717367107699616,23.96223732919404,22.83196754648228,-1.1302697827117605
sample_002,case06,ptv_d95,PTV D95,3.499999833106995,18.091352653503417,17.062594604492187,-1.0287580490112305
sample_002,case06,pvdr,PVDR,1.7061907148943334,1.2638672827631312,1.2845845202792923,0.020717237516161058
sample_002,case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.543073716337961,22.39945997676662,21.831793250843326,-0.5676667259232957
sample_002,case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.422456015930188,19.166672465068725,18.72876626139591,-0.43790620367281363
sample_002,case06,cord_d2,Cord D2,5.403743743896482,18.538208770751954,18.420194396972654,-0.11801437377929958
sample_002,case06,brainstem_d2,Brainstem D2,6.732566375732423,19.892100982666015,19.514686508178713,-0.3774144744873027
sample_002,case06,parotid_r_mean,Parotid R mean,5.246605821811792,21.487713027722908,20.80697497165564,-0.6807380560672662
sample_002,case07,ptv_d95,PTV D95,3.5000000953674317,17.957350540161134,16.481033515930175,-1.4763170242309585
sample_002,case07,pvdr,PVDR,2.1613267665900513,1.4784595433191248,1.510917955707493,0.03245841238836822
sample_002,case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.415503504528602,21.110698883551528,20.40688411117538,-0.7038147723761483
sample_002,case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.824338141293821,18.360825184758234,17.65202406249713,-0.7088011222611037
sample_002,case07,cord_d2,Cord D2,9.003155403137207,21.83968551635742,21.73745635986328,-0.10222915649413977
sample_002,case07,brainstem_d2,Brainstem D2,8.335540504455567,21.467242965698244,21.276682662963868,-0.19056030273437585
sample_002,case07,parotid_r_mean,Parotid R mean,3.8203198885676835,16.161931005150382,15.652137198592678,-0.5097938065577043
sample_002,case08,ptv_d95,PTV D95,3.500000047683716,18.42731304168701,17.363399696350097,-1.063913345336914
sample_002,case08,pvdr,PVDR,1.6140858790872068,1.3469957000071209,1.1831617676741983,-0.16383393233292254
sample_002,case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.966978740692139,22.015352674275928,21.32095344610819,-0.694399228167736
sample_002,case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.200121616227579,18.545435994769186,18.053093127939334,-0.4923428668298513
sample_002,case08,cord_d2,Cord D2,12.02076622009277,33.249525451660155,33.107117309570306,-0.14240814208984887
sample_002,case08,brainstem_d2,Brainstem D2,10.299411087036132,26.641627426147462,26.223214035034182,-0.4184133911132797
sample_002,case08,parotid_r_mean,Parotid R mean,9.591219079374063,26.19735028815992,25.196145179054955,-1.0012051091049656
sample_002,case09,ptv_d95,PTV D95,3.5000001430511474,18.36048583984375,17.788641738891602,-0.5718441009521484
sample_002,case09,pvdr,PVDR,1.8639824157560045,1.301579732169796,1.1980051623234371,-0.10357456984635882
sample_002,case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.143698386991114,21.71881651123722,21.472374506266924,-0.24644200497029445
