case_id,case_label,metric,label,units,n_repeats,mean,std,min,max,p2_5,p97_5,mean_ci_lower,mean_ci_upper,coefficient_of_variation_pct
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,5.015205499206555,0.056938397472064806,4.925643880775354,5.082726653787003,4.928136349241688,5.0808473339762,4.9786011081017545,5.050089829820435,1.1353153421344928
case03,Base-of-tongue / oropharynx bilobed central mass,cord_d2_gy,Cord D2,Gy,9,16.323106676737464,0.33891322918202554,15.696877212524413,16.67108085632324,15.715475532531737,16.66130364990234,16.085683537801106,16.526060148027206,2.076278957761274
case03,Base-of-tongue / oropharynx bilobed central mass,brainstem_d2_gy,Brainstem D2,Gy,9,15.933350346883136,0.3797146795568237,15.22957534790039,16.31108283996582,15.242281867980957,16.294052734375,15.65822106689877,16.15264594459534,2.383143979703572
case03,Base-of-tongue / oropharynx bilobed central mass,parotid_r_mean_gy,Parotid R mean,Gy,9,3.9183781372845243,0.12728572354718795,3.7138449606269295,4.056197053735906,3.7232122864386046,4.053388195230503,3.8309640085630283,4.0002895151324545,3.248428790882297
case03,Base-of-tongue / oropharynx bilobed central mass,thyroid_mean_gy,Thyroid mean,Gy,9,5.574666375879328,0.10351663191532796,5.3512282279253744,5.754468961396823,5.3818997141008404,5.733573053569617,5.5016567087435915,5.638305468723502,1.856911695437552
case03,Base-of-tongue / oropharynx bilobed central mass,body_dmax_gy,Body Dmax,Gy,9,16.872786627875435,0.38124378189887803,16.192821502685547,17.291027069091797,16.218975067138672,17.282577896118163,16.61389404932658,17.11920401785109,2.2595187760451334
case04,Laryngo-hypopharyngeal elongated cylinder,ptv_d95_gy,PTV D95,Gy,9,3.4999999735090466,1.2231822937862175e-07,3.499999737739563,3.500000166893005,3.499999752044678,3.5000001430511474,3.499999891387092,3.5000000476837156,3.4948065801265524e-06
case04,Laryngo-hypopharyngeal elongated cylinder,gtv_d95_gy,GTV D95,Gy,9,4.278695710500082,0.0312722822235925,4.229442977905274,4.324560165405273,4.2342493534088135,4.323782138824463,4.258935406870313,4.29855336215761,0.7308835294561642
case04,Laryngo-hypopharyngeal elongated cylinder,peak_mean_gy,Peak mean,Gy,9,13.625878340254227,0.1474886141945942,13.368547707796097,13.807462759315968,13.388186931610107,13.802686182409525,13.52718789199781,13.723059908838735,1.0824154635145702
case04,Laryngo-hypopharyngeal elongated cylinder,valley_mean_gy,Valley mean,Gy,9,6.349490531320026,0.09671238540073178,6.204075175120418,6.573635545105158,6.2196598314457505,6.543625645752727,6.290613424236863,6.4157489365419,1.5231518957888073
case04,Laryngo-hypopharyngeal elongated cylinder,pvdr,PVDR,ratio,9,2.146293654609715,0.028760821801573425,2.0963978578163265,2.182513273936149,2.0993054127781017,2.1811687435430884,2.126965814807125,2.1644460288834506,1.340022682348345
case04,Laryngo-hypopharyngeal elongated cylinder,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,5.361128312962041,0.0622237915393738,5.259751206197535,5.5059406723729785,5.273806900869073,5.482788817227028,5.324126800082233,5.403611236930436,1.1606473098010026
case04,Laryngo-hypopharyngeal elongated cylinder,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,3.467414321950779,0.04543641464732071,3.3826997752195815,3.5630076591653492,3.395379131060415,3.550373156654275,3.437071426674811,3.497499311067015,1.3103831970607434
case04,Laryngo-hypopharyngeal elongated cylinder,cord_d2_gy,Cord D2,Gy,9,11.14196094089084,0.25547208538865807,10.559344635009765,11.594390487670898,10.649952239990233,11.52923292541504,10.96093679555257,11.293663874520194,2.2928826150438124
case04,Laryngo-hypopharyngeal elongated cylinder,brainstem_d2_gy,Brainstem D2,Gy,9,26.85885760837131,0.7255844154479124,25.504811096191407,28.05313751220703,25.625615615844726,27.913551467895505,26.371411333507965,27.32174825922648,2.7014716188888235
case04,Laryngo-hypopharyngeal elongated cylinder,parotid_r_mean_gy,Parotid R mean,Gy,9,2.4981632081747858,0.07132150600360501,2.346016577879588,2.58598791637806,2.3593389225006103,2.5775871314063217,2.4485614327569603,2.540046817300262,2.854957825422227
case04,Laryngo-hypopharyngeal elongated cylinder,thyroid_mean_gy,Thyroid mean,Gy,9,5.479096909323057,0.073793885869179,5.319079663177762,5.582250031339864,5.345187223769563,5.577071578546944,5.425085909743058,5.523556714329394,1.3468257103394843
case04,Laryngo-hypopharyngeal elongated cylinder,body_dmax_gy,Body Dmax,Gy,9,27.820176866319443,0.7333773015801209,26.42986297607422,28.984256744384766,26.557971954345703,28.849596405029295,27.329326709111534,28.26701292991638,2.636134576369231
case05,Parapharyngeal / prestyloid deep-space bulky mass,ptv_d95_gy,PTV D95,Gy,9,3.5000000370873345,1.7631913603700313e-07,3.4999997138977053,3.500000333786011,3.499999752044678,3.5000003051757815,3.4999999231762353,3.500000145700243,5.037689547675953e-06
case05,Parapharyngeal / prestyloid deep-space bulky mass,gtv_d95_gy,GTV D95,Gy,9,3.76684080892139,0.027464494749751548,3.7232219576835632,3.829492211341858,3.7277397871017457,3.819403040409088,3.749683645036485,3.7865602210164067,0.7291121696649513
case05,Parapharyngeal / prestyloid deep-space bulky mass,peak_mean_gy,Peak mean,Gy,9,13.880773838579586,0.15219255521384242,13.670863882782532,14.145515484908193,13.67979929447174,14.129053049480794,13.78500125964619,13.983564644024408,1.0964270218915708
case05,Parapharyngeal / prestyloid deep-space bulky mass,valley_mean_gy,Valley mean,Gy,9,5.778020432634817,0.025072868974692523,5.73238733643373,5.804014806478522,5.733436371729924,5.8031378085270395,5.7599693237271925,5.792762455855798,0.43393527709037755
case05,Parapharyngeal / prestyloid deep-space bulky mass,pvdr,PVDR,ratio,9,2.402294311494144,0.019008885124205274,2.369634881038896,2.439125838152677,2.373986707315865,2.4359032698150878,2.390166394229479,2.41531953652805,0.7912804452499579
case05,Parapharyngeal / prestyloid deep-space bulky mass,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,5.241890716682779,0.0252804501490096,5.205453090833195,5.297345734362307,5.208504702755991,5.290846196013321,5.226566460557821,5.258976592727837,0.4822773215884174
case05,Parapharyngeal / prestyloid deep-space bulky mass,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,4.471905047515854,0.043999808686957534,4.4205223791713175,4.5578081177052665,4.4223191690835275,4.5540320077847225,4.4454546526964025,4.5036728893104,0.9839164342588056
case05,Parapharyngeal / prestyloid deep-space bulky mass,cord_d2_gy,Cord D2,Gy,9,12.866823840671115,0.11068668553205567,12.688382377624512,13.018519020080564,12.692557518005371,13.011035522460936,12.79080033355289,12.939110344780815,0.8602487055288884
case05,Parapharyngeal / prestyloid deep-space bulky mass,brainstem_d2_gy,Brainstem D2,Gy,9,12.325840242173935,0.11392796564922894,12.069449272155762,12.447882423400879,12.096884101867676,12.445152572631835,12.247030406634012,12.391131526735094,0.9243018196797205
case05,Parapharyngeal / prestyloid deep-space bulky mass,parotid_r_mean_gy,Parotid R mean,Gy,9,5.918860103198307,0.07594764433324973,5.799648821955979,6.0328993113354,5.8108987448913885,6.028704776089601,5.869868370832418,5.966792807568337,1.2831464675472015
case05,Parapharyngeal / prestyloid deep-space bulky mass,thyroid_mean_gy,Thyroid mean,Gy,9,4.945748390346037,0.07274897583666602,4.8233029834995325,5.0735667161528175,4.829444407383354,5.0607562185441015,4.899295281298718,4.992797779143985,1.4709396858657426
case05,Parapharyngeal / prestyloid deep-space bulky mass,body_dmax_gy,Body Dmax,Gy,9,19.690427992078995,0.3247948151265322,19.244888305664062,20.2401065826416,19.24686508178711,20.197262954711913,19.482933309343125,19.903425688213773,1.6495061217419429
case06,Buccal mucosa / cheek infiltrative crescent,ptv_d95_gy,PTV D95,Gy,9,3.4999999708599514,1.2402746317525928e-07,3.499999761581421,3.5000001430511474,3.4999997854232787,3.5000001430511474,3.499999891387092,3.5000000582800967,3.5436418345108068e-06
case06,Buccal mucosa / cheek infiltrative crescent,gtv_d95_gy,GTV D95,Gy,9,3.591583315531413,0.027445171118695016,3.5485536575317385,3.6251337051391603,3.551913642883301,3.6248660755157474,3.5739373624324795,3.609116975598865,0.7641524282622472
case06,Buccal mucosa / cheek infiltrative crescent,peak_mean_gy,Peak mean,Gy,9,13.635855769976951,0.21062706318515984,13.360394208240107,13.963187105042019,13.369660532021825,13.950961922593258,13.502159496992336,13.772644566081246,1.544655991807369
case06,Buccal mucosa / cheek infiltrative crescent,valley_mean_gy,Valley mean,Gy,9,4.564214775870493,0.06907948985692855,4.482337032904236,4.674109791586319,4.484689741565233,4.6683314546508,4.52034189411238,4.610052041847755,1.5135021739583587
case06,Buccal mucosa / cheek infiltrative crescent,pvdr,PVDR,ratio,9,2.9879562140525615,0.04954975305896471,2.8864792854353327,3.0590373651198464,2.8991602473541276,3.055002067325165,2.953239844252979,3.018684855715107,1.6583159025533523
case06,Buccal mucosa / cheek infiltrative crescent,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,4.400656370669308,0.07537028244843128,4.300309723270898,4.508231039912799,4.3068915366519365,4.506964646013662,4.356534817521394,4.452993431933088,1.7127054716378138
case06,Buccal mucosa / cheek infiltrative crescent,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,3.8568014224352516,0.07716485617974757,3.7500721211304113,4.014041329815771,3.7567967488374436,3.9989360280324373,3.808846614576094,3.9057265786595496,2.000747451784135
case06,Buccal mucosa / cheek infiltrative crescent,cord_d2_gy,Cord D2,Gy,9,2.6613548278808588,0.09359688776247316,2.4998900222778317,2.7788198089599607,2.510184511184692,2.776956544876098,2.603901940001381,2.719018869426515,3.5168887208099564
case06,Buccal mucosa / cheek infiltrative crescent,brainstem_d2_gy,Brainstem D2,Gy,9,3.952223258548313,0.20104592904344873,3.6783036136627203,4.407091846466065,3.692951246261597,4.344834846496582,3.8267628338601853,4.086727427562078,5.086907188469274
case06,Buccal mucosa / cheek infiltrative crescent,parotid_r_mean_gy,Parotid R mean,Gy,9,3.6742862536583423,0.13669516981516205,3.5603824008594858,4.027568005552196,3.561155870803679,3.9746869442679666,3.603145693029486,3.771895961836398,3.720319005604423
case06,Buccal mucosa / cheek infiltrative crescent,thyroid_mean_gy,Thyroid mean,Gy,9,3.4400381366534867,0.12407284324544529,3.2428624187091555,3.601514136459067,3.2464102857991266,3.595805614061031,3.356327518877148,3.5172736333906753,3.606728713948065
case06,Buccal mucosa / cheek infiltrative crescent,body_dmax_gy,Body Dmax,Gy,9,17.795700709025066,0.4332768643203212,17.174837112426758,18.70500373840332,17.219667053222658,18.584873962402344,17.527523507012262,18.085801045099895,2.434727754780599
case07,Oral tongue / floor-of-mouth horseshoe,ptv_d95_gy,PTV D95,Gy,9,3.4999999708599514,1.5236328805534427e-07,3.4999997854232787,3.5000002861022947,3.49999979019165,3.5000002527236935,3.4999998754925192,3.5000000715918014,4.353236837825131e-06
case07,Oral tongue / floor-of-mouth horseshoe,gtv_d95_gy,GTV D95,Gy,9,3.821325092845493,0.0227622001431832,3.7937623023986817,3.867091751098633,3.7947867250442506,3.8644274926185607,3.8076014905505717,3.836483165919781,0.5956624885383324
case07,Oral tongue / floor-of-mouth horseshoe,peak_mean_gy,Peak mean,Gy,9,13.566928260649243,0.15795944314935356,13.311877269297838,13.82103498838842,13.333268206566572,13.804518153890967,13.461744827006218,13.670102053828952,1.1642977696544143
case07,Oral tongue / floor-of-mouth horseshoe,valley_mean_gy,Valley mean,Gy,9,5.888368051967437,0.050643810749648285,5.827280906001034,5.962353082341517,5.829652208727513,5.960338513538323,5.856025216643449,5.922608724351751,0.8600653067657181
case07,Oral tongue / floor-of-mouth horseshoe,pvdr,PVDR,ratio,9,2.303996328059036,0.014495226076922536,2.2844063095686766,2.3219731657453773,2.284877770038653,2.3218193755174874,2.294605349411702,2.313634426167637,0.6291340789216362
case07,Oral tongue / floor-of-mouth horseshoe,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,5.429484143497081,0.04220980856578917,5.3783973927701,5.514338558711442,5.378771233087975,5.504694334222386,5.402925834851308,5.457334504422435,0.7774183964851257
case07,Oral tongue / floor-of-mouth horseshoe,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,4.44986681267962,0.03424172208501394,4.401467028297598,4.527711925832041,4.402948503575907,4.514930814560322,4.428313892605653,4.473611212307801,0.769499931715805
case07,Oral tongue / floor-of-mouth horseshoe,cord_d2_gy,Cord D2,Gy,9,3.801057164933946,0.15056538304029746,3.659539442062378,4.130038146972655,3.660144546508789,4.097392135620116,3.7140446867148085,3.9040642902851106,3.9611449264513743
case07,Oral tongue / floor-of-mouth horseshoe,brainstem_d2_gy,Brainstem D2,Gy,9,4.423149140675863,0.10504393623998223,4.20168815612793,4.56149040222168,4.225170520782471,4.559198432922363,4.351428109963734,4.487084025965797,2.3748676090069933
