plan_id,case_label,endpoint,label,units,n_repeats,mean_with_sink_minus_no_sink,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero,cohens_dz
case04,Laryngo-hypopharyngeal elongated cylinder,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.546504799672302,0.0006002170840506378,-0.5476325987609716,-0.5457195356210889,-0.5474978205264123,-0.5457263316448578,-0.5469036728250856,-0.5461161119871449,0.031243400836048374,0.031249165690462433,0.06124836475330637,17.488620499045865,True,True,True,-858.4388550252781
case04,Laryngo-hypopharyngeal elongated cylinder,cord_d2,Cord D2,Gy,9,-0.12202941894531232,0.003732694206114694,-0.1274934387207054,-0.11813697814941193,-0.12738197326660342,-0.11814320373534955,-0.12450450325012209,-0.11966472668117888,0.0,0.003732694206114694,0.0073160806439847995,32.69204821156002,True,True,True,-30.82235864169551
case04,Laryngo-hypopharyngeal elongated cylinder,brainstem_d2,Brainstem D2,Gy,9,-0.05434304131402001,0.0017792547582924706,-0.058608703613280966,-0.052238159179687216,-0.05785211181640619,-0.05231973266601671,-0.055582374996610145,-0.053321178012425544,0.0004912503740486591,0.0018458262174184613,0.003617819386140184,29.44103881568179,True,True,True,-28.795826150885443
case04,Laryngo-hypopharyngeal elongated cylinder,parotid_r_mean,Parotid R mean,Gy,9,-0.7000604948478379,0.004158912044981374,-0.707266467508644,-0.6925040543681433,-0.7065611870120275,-0.6929889944827909,-0.702838597016704,-0.6972495533454026,0.07278300043907508,0.07290172633286741,0.14288738361242012,9.602797218427717,True,True,True,-158.70096723815445
case05,Parapharyngeal / prestyloid deep-space bulky mass,ptv_d95,PTV D95,Gy,9,-1.2967228571573897,0.027267305279312905,-1.3513607025146488,-1.250852966308594,-1.3453455352783206,-1.2556747055053716,-1.3149509021970962,-1.2791339164310034,0.5595337811511053,0.5601977848817757,1.0979876583682804,2.3147589871870884,True,True,True,-44.83618830796764
case05,Parapharyngeal / prestyloid deep-space bulky mass,pvdr,PVDR,ratio,9,-0.10796601390775579,0.0010303087943305492,-0.1094301677931806,-0.10630213558762547,-0.10940348120897188,-0.10637860155685411,-0.10862405289942723,-0.10729867526856789,0.00316735604240918,0.0033307177171085535,0.006528206725532765,32.41523992056665,True,True,True,-98.79691860918902
case05,Parapharyngeal / prestyloid deep-space bulky mass,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.5996629175101944,0.0011219556251990518,-0.6018139483612899,-0.5982158689543269,-0.6015737757559727,-0.5982422491545251,-0.6003688837332396,-0.5989623604696206,0.05447333174673355,0.05448488465633937,0.10679037392642517,11.006041791086421,True,True,True,-503.91263953044984
case05,Parapharyngeal / prestyloid deep-space bulky mass,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.35193473484517984,0.0007789455137104352,-0.3536328961627806,-0.3509581003148128,-0.35342486710428034,-0.35101935260217765,-0.352477827379107,-0.3514647985594624,0.031243400836048374,0.03125310947594363,0.06125609457284952,11.260791029963709,True,True,True,-425.9697812216523
case05,Parapharyngeal / prestyloid deep-space bulky mass,cord_d2,Cord D2,Gy,9,-0.11023269653320256,0.0045945868273537,-0.11717346191406364,-0.10303665161132614,-0.11710252380371174,-0.10364053344726401,-0.11342300075954789,-0.10729220792982254,0.0,0.0045945868273537,0.00900539018161325,23.991862745293297,True,True,True,-22.619745120658386
case05,Parapharyngeal / prestyloid deep-space bulky mass,brainstem_d2,Brainstem D2,Gy,9,-0.11309305826823074,0.00880704659760015,-0.12514900207519375,-0.09597206115722656,-0.12398730468749904,-0.09697785949707054,-0.11844372155931353,-0.10752899509006215,0.0004912503740486591,0.008820736743736507,0.017288644017723554,12.82127123321492,True,True,True,-12.10680069576441
