plan_id,case_label,site_group,model_id,model_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank,repeat_id,seed,history_scale,model_risk_score,model_rank_within_case
case06,Buccal mucosa / cheek infiltrative crescent,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.17682933807373,1.3462210792757972,22.68603018978892,19.156232189827595,25.457264938354488,27.725264205932618,18.669333650608255,17.065306091308592,18.46018875494092,42.19706726074219,4.269412082855148,14.908965018090049,26.581303787231434,14.403738810461025,22.68603018978892,34.40033241465122,25.55325640358934,237,16899,,,seed11_hist0p5,11,0.5,-1.2067934602945278,3
case06,Buccal mucosa / cheek infiltrative crescent,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",17.20997314453125,1.293387896542739,23.215198076608267,19.451217067564915,25.457711334228513,27.74379997253418,19.160320461157596,18.632006072998045,19.47111883547284,42.208274841308594,4.399364179192167,15.005326796653154,26.798360443115183,14.671789657690836,23.215198076608267,34.40921919456514,26.603944019069544,237,16899,,,seed11_hist0p5,11,0.5,2.4275449783112726,5
case06,Buccal mucosa / cheek infiltrative crescent,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.7611442565918,1.2811617308276404,23.536658233796608,19.65981651462023,25.42380020141601,27.770776672363283,19.31186728621974,19.193194961547853,19.420995626656264,42.20827865600586,4.0788392024810864,14.96233512758033,26.937166213989254,14.57504928168613,23.536658233796608,34.40922233324011,26.857828723163223,237,16899,,,seed11_hist0p5,11,0.5,3.5277256396649435,6
case06,Buccal mucosa / cheek infiltrative crescent,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",17.121368980407716,1.306898470258289,22.869620742083203,19.298324454487005,25.256020278930663,24.58306564331055,19.282646560668944,18.568297958374025,18.58007302889514,42.20821762084961,2.983586341217913,15.032650348350142,26.56026458740234,14.376483760879864,22.869620742083203,34.40909385681152,26.328819445332336,237,16899,,,seed11_hist0p5,11,0.5,-2.4637268109309742,2
case06,Buccal mucosa / cheek infiltrative crescent,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",16.402604484558104,1.2861068157271796,21.977848851060642,18.517453192809686,24.56395797729492,26.749067535400393,17.73802955704506,17.74130172729492,18.33807041622906,39.42168045043945,4.014558773329764,14.287331829405192,25.65204277038574,13.986928593023903,21.977848851060642,32.019615986176184,24.896544823978658,237,16899,,,seed11_hist0p5,11,0.5,-7.423529478234968,1
case07,Oral tongue / floor-of-mouth horseshoe,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",17.6568021774292,1.406085694335085,22.55090495771057,20.487751226885425,28.029844131469723,31.226575698852542,20.85778800116645,19.178782653808593,19.953271948516186,54.3951301574707,20.131818960170552,19.663966783184364,31.213926124572755,20.307195784040093,22.55090495771057,36.58155553415418,26.01659036965951,512,16591,,,seed11_hist0p5,11,0.5,2.3341744195703353,5
case07,Oral tongue / floor-of-mouth horseshoe,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",18.047805786132812,1.4772654626136015,23.310853194992248,20.793604541648385,27.986924896240232,30.921417083740234,21.368824679442127,20.151744556427,21.18577857652316,54.49757766723633,20.679231950008507,19.708871854619105,31.048006401062015,20.532533501794546,23.310853194992248,40.23194259405136,27.234064298012065,512,16591,,,seed11_hist0p5,11,0.5,1.3613447329225858,4
case07,Oral tongue / floor-of-mouth horseshoe,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",18.39039554595947,1.4689140242219618,23.53187446755614,21.02791255981837,28.026526718139646,31.142312011718754,21.452497850283226,20.371845054626466,21.14796497652036,54.49760055541992,20.763779370471685,19.539840180516915,31.264670600891115,20.62893194252574,23.53187446755614,40.23729448765516,27.392545665814314,512,16591,,,seed11_hist0p5,11,0.5,3.2640235637273403,6
case07,Oral tongue / floor-of-mouth horseshoe,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",16.247476959228514,1.5206998224078254,22.383068212543414,20.620584326628563,28.021564865112303,30.916370239257816,19.455556667212285,18.33978967666626,18.27686064752632,54.466548919677734,20.75799271939981,19.680362491078814,31.337244873046878,20.325582590440433,22.383068212543414,40.03100933134556,26.324070497990718,512,16591,,,seed11_hist0p5,11,0.5,-2.505340106101166,2
case07,Oral tongue / floor-of-mouth horseshoe,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",16.855983543395997,1.4642400349102977,22.057288505140285,19.94057375896279,27.12727584838867,30.37164299011231,20.42546568013201,18.654143047332763,19.812659892504428,52.23616027832031,19.706361655032996,18.938643338981155,30.5524935913086,19.7489005476347,22.057288505140285,37.490702804178,25.604205533469624,512,16591,,,seed11_hist0p5,11,0.5,-7.454824994956771,1
