plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.6589943766593933,0.5299428701400757,0.9953327178955078,0.8669492602348328,141.21298217773438,52.706031799316406,106.85346984863281,3743.91064453125,1336.8787841796875,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6589953303337097,0.5290819406509399,0.9952138066291809,0.8393396139144897,139.70314025878906,45.026885986328125,103.60799407958984,3726.990966796875,1192.2613525390625,0.9572678791193765,112.008
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6764872670173645,0.5567271709442139,0.9947729110717773,0.8644853830337524,134.45028686523438,55.568084716796875,141.10655212402344,3630.21337890625,1401.6536865234375,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6750866770744324,0.559131383895874,0.9568542242050171,0.8880491852760315,87.0217514038086,58.680301666259766,138.71255493164062,2481.59912109375,1476.747314453125,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6765938997268677,0.5589281320571899,0.9952397346496582,0.8981418013572693,139.27305603027344,64.30142211914062,148.37994384765625,3705.94677734375,1576.95458984375,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6761863827705383,0.5579533576965332,0.9891791343688965,0.8790680170059204,117.75013732910156,57.39419174194336,140.2702178955078,3286.0546875,1442.46875,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.6764808297157288,0.5585978031158447,0.9904800653457642,0.8684775829315186,105.77465057373047,47.63838195800781,123.93690490722656,3080.8291015625,1288.176513671875,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6760449409484863,0.5589043498039246,0.9606032967567444,0.8376333117485046,58.48225021362305,34.3662109375,114.38115692138672,1977.150634765625,1006.5628051757812,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.6767202615737915,0.5592824816703796,0.9952204823493958,0.8864257335662842,138.98411560058594,59.801883697509766,133.17092895507812,3703.361572265625,1506.8118896484375,0.9702324252238521,162.968
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6767280101776123,0.558560311794281,0.9951404333114624,0.8633940815925598,137.8524932861328,52.46038818359375,128.97271728515625,3690.896484375,1369.89306640625,0.9702324252238521,162.968
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6960886716842651,0.5069118738174438,0.9878427386283875,0.8847189545631409,115.85287475585938,64.79365539550781,90.81382751464844,3087.876953125,1655.9442138671875,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6964325308799744,0.5073046088218689,0.9879242181777954,0.8761128187179565,116.21826171875,62.62922286987305,88.20381927490234,3091.617919921875,1605.6661376953125,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6962106227874756,0.5074201226234436,0.9879242181777954,0.8887366652488708,116.21894836425781,66.16507720947266,93.6630859375,3091.62158203125,1677.26318359375,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6960964202880859,0.5051625967025757,0.987891674041748,0.867963969707489,115.76043701171875,61.187660217285156,89.8591079711914,3086.862060546875,1585.1163330078125,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.6960572600364685,0.5070682764053345,0.9796442985534668,0.8565360903739929,88.15852355957031,49.39918899536133,77.64439392089844,2567.5537109375,1377.093994140625,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6959346532821655,0.5047352313995361,0.9719318747520447,0.7611678242683411,69.82249450683594,27.093433380126953,66.72821807861328,2199.90673828125,881.412353515625,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.6962705850601196,0.5072748064994812,0.9870167970657349,0.8713662624359131,113.55935668945312,60.3116569519043,81.83042907714844,3057.91357421875,1584.9163818359375,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6962148547172546,0.5063954591751099,0.9838975071907043,0.8369147777557373,107.042724609375,50.89731979370117,77.54717254638672,2955.322998046875,1405.4927978515625,0.9163095875736476,54.744
